-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: latitude  31.33   longitude 75.57 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 282.49 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,22.32,8.93,41.1,1.42
2015,1,2,0.02,22.98,9.71,38.82,0.74
2015,1,3,2.48,19.3,7.18,61.02,0.8
2015,1,4,0.18,19.12,6.59,52.58,1.45
2015,1,5,0.0,20.1,3.98,45.18,1.84
2015,1,6,0.0,21.39,6.22,45.81,1.62
2015,1,7,0.0,20.69,5.75,47.34,1.28
2015,1,8,0.0,21.92,6.48,41.12,1.19
2015,1,9,0.0,20.76,6.7,38.95,1.04
2015,1,10,0.0,20.83,3.86,36.39,1.68
2015,1,11,0.0,22.13,4.34,32.91,1.66
2015,1,12,0.0,22.2,8.21,30.09,0.94
2015,1,13,0.17,20.16,6.33,41.57,1.2
2015,1,14,9.03,15.91,9.22,72.49,1.65
2015,1,15,0.0,19.75,6.85,73.55,1.26
2015,1,16,0.0,21.04,6.07,59.88,1.31
2015,1,17,0.0,21.36,6.53,48.47,1.38
2015,1,18,0.0,21.35,6.71,41.73,1.47
2015,1,19,0.0,21.4,7.7,40.02,1.17
2015,1,20,0.0,20.69,7.18,43.79,1.1
2015,1,21,13.01,17.04,6.19,66.51,1.71
2015,1,22,5.13,14.12,9.23,89.21,1.23
2015,1,23,0.16,18.53,8.35,76.1,0.9
2015,1,24,0.0,20.45,6.06,65.19,1.52
2015,1,25,0.0,19.24,7.5,54.82,1.22
2015,1,26,0.07,18.55,7.26,49.24,0.74
2015,1,27,0.06,17.33,6.3,54.01,1.17
2015,1,28,0.0,18.67,5.03,50.7,1.63
2015,1,29,0.0,17.96,6.22,46.98,1.24
2015,1,30,0.0,20.37,4.81,46.39,1.91
2015,1,31,0.0,21.81,5.16,43.5,1.56
2015,2,1,0.0,22.03,5.93,45.17,1.35
2015,2,2,1.63,22.0,9.86,52.94,1.31
2015,2,3,17.61,18.96,10.56,81.67,1.53
2015,2,4,0.0,22.05,7.55,65.19,1.56
2015,2,5,0.0,22.52,6.24,50.8,1.52
2015,2,6,0.0,21.05,8.81,43.37,1.02
2015,2,7,0.0,22.54,9.13,47.99,1.35
2015,2,8,0.01,22.99,9.94,56.22,2.61
2015,2,9,0.0,23.9,7.86,53.76,1.73
2015,2,10,0.0,24.21,9.59,45.2,1.39
2015,2,11,0.0,24.5,11.11,43.09,1.22
2015,2,12,0.0,24.32,9.52,38.78,1.38
2015,2,13,0.0,24.51,8.52,42.08,1.33
2015,2,14,0.0,28.09,12.55,43.97,1.59
2015,2,15,0.0,26.87,12.96,47.66,1.01
2015,2,16,3.92,26.67,12.19,50.84,1.94
2015,2,17,7.88,26.82,14.7,53.73,1.11
2015,2,18,0.64,25.98,13.69,53.25,1.24
2015,2,19,9.49,23.8,14.83,62.37,1.5
2015,2,20,11.88,25.01,13.34,70.33,1.34
2015,2,21,0.0,27.58,13.96,54.8,2.09
2015,2,22,0.0,28.99,11.28,61.7,1.93
2015,2,23,0.0,25.97,14.2,55.6,0.86
2015,2,24,0.08,27.57,16.37,53.87,1.25
2015,2,25,15.2,22.13,9.56,65.63,3.77
2015,2,26,0.01,22.66,7.78,46.78,1.14
2015,2,27,0.03,22.32,6.8,50.91,1.38
2015,2,28,0.12,21.04,9.03,49.23,1.56
2015,3,1,49.11,16.69,11.33,85.53,3.23
2015,3,2,29.54,17.87,11.95,87.98,3.42
2015,3,3,2.08,19.71,10.16,76.15,1.24
2015,3,4,1.77,20.65,8.27,68.95,1.74
2015,3,5,1.88,19.46,10.1,74.33,1.77
2015,3,6,0.09,22.81,10.73,66.07,1.37
2015,3,7,3.2,20.07,10.01,66.95,1.12
2015,3,8,4.41,22.29,9.12,76.32,3.12
2015,3,9,0.39,20.25,6.73,71.24,1.73
2015,3,10,0.0,23.93,7.98,58.23,1.72
2015,3,11,0.0,24.03,9.72,53.69,1.11
2015,3,12,0.0,25.42,12.39,48.23,1.06
2015,3,13,0.0,26.09,12.93,45.58,0.84
2015,3,14,1.33,27.16,14.44,56.75,1.18
2015,3,15,9.57,23.47,14.32,76.72,2.38
2015,3,16,15.13,20.79,13.96,83.17,2.55
2015,3,17,0.27,23.36,13.24,73.84,1.54
2015,3,18,0.0,25.49,10.7,70.14,1.79
2015,3,19,0.0,26.97,12.47,59.76,1.6
2015,3,20,0.0,28.3,12.76,58.03,1.53
2015,3,21,0.0,29.53,15.35,58.21,1.61
2015,3,22,0.0,30.84,15.92,60.54,1.86
2015,3,23,0.0,32.05,15.32,62.33,1.78
2015,3,24,0.04,33.3,18.72,53.43,1.16
2015,3,25,0.03,33.47,18.1,54.18,1.95
2015,3,26,0.0,33.39,17.75,49.87,1.39
2015,3,27,0.0,33.6,17.9,43.97,1.77
2015,3,28,0.01,35.33,17.69,42.21,1.13
2015,3,29,6.09,25.28,18.4,58.67,2.0
2015,3,30,18.34,27.88,17.75,72.08,1.55
2015,3,31,0.58,27.47,16.49,69.15,0.92
2015,4,1,0.77,27.16,18.99,66.6,1.32
2015,4,2,0.28,30.33,18.71,57.69,1.22
2015,4,3,5.42,27.56,16.89,65.37,2.29
2015,4,4,1.52,26.78,18.29,61.26,0.8
2015,4,5,0.04,29.0,15.33,62.09,1.56
2015,4,6,1.09,29.8,17.05,59.13,1.85
2015,4,7,6.19,22.32,17.82,76.57,1.25
2015,4,8,0.05,28.82,17.22,60.94,1.3
2015,4,9,0.0,30.74,16.1,58.49,1.78
2015,4,10,0.0,32.56,18.03,53.03,1.72
2015,4,11,0.01,34.06,19.77,51.59,1.56
2015,4,12,0.23,31.25,20.33,56.11,1.84
2015,4,13,0.0,32.87,18.27,53.71,1.4
2015,4,14,0.03,31.96,18.6,58.02,1.82
2015,4,15,21.89,31.24,19.89,61.44,1.31
2015,4,16,3.2,31.24,20.31,63.94,1.57
2015,4,17,0.0,33.7,18.36,61.58,2.58
2015,4,18,0.0,36.39,21.46,50.25,1.95
2015,4,19,0.0,37.24,23.08,42.8,1.23
2015,4,20,0.89,38.08,21.51,43.78,2.75
2015,4,21,0.0,36.2,20.96,46.62,2.13
2015,4,22,0.0,36.96,18.99,44.07,2.28
2015,4,23,0.0,38.0,22.3,35.09,1.57
2015,4,24,0.0,38.8,24.12,34.19,1.21
2015,4,25,0.0,39.42,23.83,32.98,1.33
2015,4,26,0.01,36.11,20.6,40.36,2.3
2015,4,27,0.24,37.02,21.88,43.72,2.23
2015,4,28,1.68,38.01,24.22,40.1,2.12
2015,4,29,0.68,38.4,21.78,36.07,1.55
2015,4,30,1.93,37.13,22.39,39.43,2.13
2015,5,1,4.44,36.43,20.26,41.97,2.3
2015,5,2,0.0,37.24,20.33,32.54,2.34
2015,5,3,0.0,38.58,22.61,28.85,2.02
2015,5,4,0.0,39.7,20.41,29.84,2.22
2015,5,5,0.0,40.08,24.11,31.26,1.67
2015,5,6,0.0,41.09,24.31,33.59,1.73
2015,5,7,0.0,42.4,26.51,30.96,1.18
2015,5,8,0.0,39.79,27.4,31.49,1.64
2015,5,9,0.0,41.61,24.8,31.44,1.28
2015,5,10,0.13,41.07,26.81,34.81,1.32
2015,5,11,1.33,40.37,26.48,34.54,1.89
2015,5,12,3.06,37.93,26.06,39.12,1.62
2015,5,13,6.19,37.35,22.83,45.45,2.14
2015,5,14,7.27,35.28,25.29,47.71,1.33
2015,5,15,0.38,37.32,24.56,42.16,1.46
2015,5,16,0.48,39.78,24.8,36.04,1.92
2015,5,17,0.01,39.63,24.86,32.55,1.44
2015,5,18,0.05,42.3,28.68,34.55,1.71
2015,5,19,0.0,42.15,27.14,29.85,3.05
2015,5,20,0.11,42.1,24.39,28.33,3.01
2015,5,21,0.0,43.04,24.43,27.01,2.92
2015,5,22,0.0,43.64,25.24,24.66,2.48
2015,5,23,0.0,43.88,27.43,24.31,1.66
2015,5,24,0.01,44.51,28.66,23.44,1.61
2015,5,25,0.01,44.2,29.06,24.23,1.78
2015,5,26,0.01,43.35,24.94,19.29,3.14
2015,5,27,0.0,41.89,21.96,19.9,1.82
2015,5,28,0.0,42.6,25.94,18.85,2.12
2015,5,29,0.0,41.93,25.96,22.27,2.3
2015,5,30,0.01,42.62,26.25,24.08,2.77
2015,5,31,0.1,41.92,28.11,23.08,1.35
2015,6,1,0.64,40.89,29.15,21.74,1.7
2015,6,2,0.04,37.7,27.38,29.13,2.07
2015,6,3,1.17,40.43,26.66,29.38,1.46
2015,6,4,5.64,34.21,26.27,46.52,1.8
2015,6,5,0.13,39.53,26.58,36.83,1.52
2015,6,6,0.0,41.31,26.06,28.69,2.56
2015,6,7,0.0,42.76,28.18,23.91,1.41
2015,6,8,0.04,44.96,29.21,19.98,2.21
2015,6,9,0.33,44.94,29.08,19.86,2.76
2015,6,10,0.12,43.97,30.15,28.11,3.16
2015,6,11,5.09,41.93,28.58,30.3,3.03
2015,6,12,0.22,43.32,27.13,28.47,2.76
2015,6,13,1.36,41.75,28.5,30.73,1.84
2015,6,14,3.43,41.06,28.64,33.76,2.94
2015,6,15,18.08,38.07,27.14,52.53,1.86
2015,6,16,0.0,40.81,27.24,38.39,2.32
2015,6,17,0.01,42.42,27.53,36.42,2.36
2015,6,18,0.04,43.65,28.81,33.9,1.98
2015,6,19,0.15,44.85,29.52,35.47,2.12
2015,6,20,4.92,40.18,29.17,42.13,3.56
2015,6,21,6.29,41.53,30.49,39.05,1.76
2015,6,22,2.67,41.49,27.94,38.37,1.95
2015,6,23,9.74,40.72,29.29,41.34,1.41
2015,6,24,5.77,39.68,28.6,45.86,2.33
2015,6,25,7.02,38.44,27.08,44.91,1.14
2015,6,26,0.0,40.4,25.54,35.24,2.56
2015,6,27,0.01,41.02,26.41,34.3,2.31
2015,6,28,0.08,43.0,27.12,32.51,1.59
2015,6,29,0.74,42.14,28.69,34.89,2.1
2015,6,30,22.37,38.1,26.49,51.92,1.35
2015,7,1,0.0,39.84,28.28,40.27,1.12
2015,7,2,0.07,39.38,27.35,43.36,1.67
2015,7,3,0.07,41.74,28.84,39.54,2.62
2015,7,4,0.37,42.19,28.88,43.5,2.4
2015,7,5,4.07,42.74,31.07,42.05,2.71
2015,7,6,9.69,35.13,28.13,64.45,2.72
2015,7,7,8.83,36.99,27.2,61.89,2.38
2015,7,8,7.49,36.72,27.94,55.57,1.6
2015,7,9,7.82,37.9,27.91,53.93,1.5
2015,7,10,4.78,38.9,27.81,52.08,2.16
2015,7,11,30.64,32.43,26.72,71.16,1.78
2015,7,12,51.61,33.57,26.18,71.03,1.79
2015,7,13,2.06,36.26,26.0,63.49,1.18
2015,7,14,0.03,37.65,26.27,58.86,1.08
2015,7,15,0.04,39.36,28.3,53.18,1.37
2015,7,16,2.02,39.73,28.63,53.94,2.18
2015,7,17,75.68,33.53,27.35,76.11,1.5
2015,7,18,21.77,31.61,26.35,78.99,1.22
2015,7,19,3.91,33.1,25.94,74.83,0.84
2015,7,20,0.38,34.78,25.55,71.32,1.44
2015,7,21,2.66,35.48,25.88,69.5,1.0
2015,7,22,0.43,35.0,26.65,68.03,1.13
2015,7,23,7.52,34.08,26.1,75.28,1.59
2015,7,24,6.39,33.76,26.52,77.42,1.62
2015,7,25,8.84,34.08,26.31,76.17,1.48
2015,7,26,8.65,31.32,26.78,81.03,1.39
2015,7,27,0.12,33.24,25.89,76.14,1.25
2015,7,28,1.0,34.34,25.89,73.68,1.98
2015,7,29,0.01,34.3,24.66,72.49,2.08
2015,7,30,0.09,34.91,25.81,72.67,2.22
2015,7,31,1.21,34.52,25.49,72.8,2.72
2015,8,1,5.52,33.83,25.53,77.04,2.95
2015,8,2,8.3,32.79,25.56,79.98,2.38
2015,8,3,2.02,34.28,24.91,74.12,1.6
2015,8,4,0.17,36.12,26.5,67.8,1.35
2015,8,5,6.88,36.01,27.02,66.39,1.53
2015,8,6,12.48,36.51,27.06,65.11,1.38
2015,8,7,0.8,37.45,27.39,64.73,1.32
2015,8,8,4.2,36.01,26.94,69.57,2.01
2015,8,9,1.6,36.6,26.83,63.42,1.16
2015,8,10,0.44,37.15,26.41,59.49,1.08
2015,8,11,0.8,37.84,27.81,56.53,1.43
2015,8,12,20.03,33.16,25.85,74.58,1.73
2015,8,13,10.33,34.42,25.91,69.98,0.99
2015,8,14,1.17,35.4,26.47,69.8,1.23
2015,8,15,15.33,34.33,27.51,73.91,1.49
2015,8,16,3.1,34.84,26.18,72.08,1.13
2015,8,17,4.39,35.26,26.02,64.26,1.43
2015,8,18,16.32,35.78,26.4,65.81,1.44
2015,8,19,5.69,36.26,25.75,65.79,1.35
2015,8,20,10.4,35.67,25.24,67.36,1.57
2015,8,21,19.43,34.48,25.62,69.61,1.43
2015,8,22,13.14,33.53,25.59,71.2,1.46
2015,8,23,0.28,34.34,24.24,66.99,1.15
2015,8,24,0.21,34.8,25.26,63.9,1.4
2015,8,25,0.0,35.48,24.68,60.3,1.62
2015,8,26,0.0,36.42,24.2,61.02,1.36
2015,8,27,0.01,36.44,25.36,56.95,1.01
2015,8,28,0.14,32.44,26.91,63.05,1.16
2015,8,29,0.01,36.5,25.13,57.43,1.16
2015,8,30,0.0,36.81,26.43,56.62,1.42
2015,8,31,0.19,36.82,24.97,54.09,1.59
2015,9,1,0.0,36.6,23.91,50.53,1.66
2015,9,2,0.03,37.1,23.57,48.67,1.44
2015,9,3,0.16,36.99,22.73,49.22,1.0
2015,9,4,0.0,36.53,22.81,46.22,1.18
2015,9,5,0.03,36.17,23.98,45.26,1.11
2015,9,6,0.33,36.03,22.47,47.83,1.24
2015,9,7,0.0,36.67,22.8,45.83,1.45
2015,9,8,0.0,36.91,23.7,46.5,1.48
2015,9,9,0.0,38.13,24.39,46.33,1.44
2015,9,10,0.0,37.1,23.68,43.72,1.21
2015,9,11,0.0,37.47,24.11,41.56,1.08
2015,9,12,0.0,38.22,24.24,39.27,0.88
2015,9,13,0.0,37.9,22.82,41.9,1.37
2015,9,14,0.0,38.36,25.35,39.4,1.18
2015,9,15,0.05,38.3,24.35,37.17,1.12
2015,9,16,2.93,37.83,23.73,38.52,0.99
2015,9,17,4.97,37.1,23.63,46.09,0.92
2015,9,18,0.0,38.08,23.23,42.13,0.86
2015,9,19,2.87,33.57,22.58,57.67,1.5
2015,9,20,14.8,30.86,24.52,73.1,1.02
2015,9,21,9.75,35.13,24.28,61.75,1.12
2015,9,22,59.8,32.25,24.72,77.38,2.12
2015,9,23,9.7,29.96,23.25,78.89,2.04
2015,9,24,0.0,31.95,21.39,65.91,1.45
2015,9,25,0.0,32.91,20.93,61.05,1.37
2015,9,26,0.03,33.55,21.21,55.95,1.0
2015,9,27,0.0,33.36,21.99,56.11,1.35
2015,9,28,0.01,33.66,21.69,53.24,1.4
2015,9,29,0.0,33.82,21.32,51.48,1.61
2015,9,30,0.0,34.09,18.2,52.48,1.96
2015,10,1,0.0,34.72,20.39,44.78,1.37
2015,10,2,0.0,35.47,21.5,44.14,1.35
2015,10,3,0.0,35.66,20.71,44.13,1.24
2015,10,4,0.0,34.53,21.89,40.64,0.9
2015,10,5,0.0,35.0,21.06,45.73,1.07
2015,10,6,0.0,34.44,21.95,49.25,1.24
2015,10,7,0.0,34.89,22.73,48.77,1.23
2015,10,8,0.0,34.96,22.28,46.71,1.44
2015,10,9,0.0,35.21,21.61,43.58,0.97
2015,10,10,0.0,35.14,20.89,43.48,0.97
2015,10,11,0.0,35.24,20.59,45.97,1.36
2015,10,12,0.02,34.3,21.75,51.71,1.03
2015,10,13,0.3,33.08,22.72,54.58,0.98
2015,10,14,7.03,31.31,21.87,64.15,0.93
2015,10,15,0.04,31.61,21.98,60.27,0.81
2015,10,16,0.0,32.99,21.64,54.27,1.13
2015,10,17,0.0,32.37,20.19,49.15,1.34
2015,10,18,0.3,33.65,21.52,45.88,0.9
2015,10,19,1.34,33.73,21.47,49.1,1.29
2015,10,20,0.01,33.76,20.77,46.8,1.44
2015,10,21,0.0,31.64,18.97,49.13,1.37
2015,10,22,0.0,31.86,18.11,42.69,1.26
2015,10,23,0.0,31.98,16.34,42.58,1.58
2015,10,24,0.11,30.44,20.25,38.93,1.21
2015,10,25,3.02,28.17,19.4,50.29,1.23
2015,10,26,1.11,31.01,17.95,49.13,1.85
2015,10,27,0.25,28.53,15.72,49.75,1.99
2015,10,28,0.01,29.3,16.17,47.7,1.1
2015,10,29,0.02,29.04,16.28,45.68,1.46
2015,10,30,0.0,28.76,14.11,43.13,1.38
2015,10,31,0.0,29.95,17.32,43.23,1.07
2015,11,1,0.0,29.31,15.68,46.5,1.11
2015,11,2,0.0,28.91,17.43,49.02,1.06
2015,11,3,0.1,28.99,17.78,48.87,1.16
2015,11,4,0.48,28.23,15.64,48.16,1.3
2015,11,5,1.42,28.71,15.88,47.99,1.51
2015,11,6,0.26,28.24,16.35,48.25,1.1
2015,11,7,0.0,28.29,15.61,45.82,1.02
2015,11,8,0.02,26.9,16.08,41.76,1.11
2015,11,9,0.0,27.4,16.98,42.16,1.11
2015,11,10,0.0,27.15,16.19,46.95,1.52
2015,11,11,0.0,26.68,13.46,53.71,2.12
2015,11,12,0.0,28.75,12.69,52.02,1.46
2015,11,13,0.16,29.4,16.9,50.88,2.15
2015,11,14,0.0,28.99,14.86,51.4,2.11
2015,11,15,0.0,28.95,14.59,44.26,1.76
2015,11,16,0.0,27.87,14.34,42.28,2.19
2015,11,17,0.0,27.77,11.84,42.76,1.64
2015,11,18,0.0,27.36,11.46,36.55,1.29
2015,11,19,0.0,26.81,12.16,34.36,1.1
2015,11,20,0.0,27.41,13.8,38.45,0.97
2015,11,21,0.0,27.63,13.63,40.57,1.22
2015,11,22,0.0,27.14,13.32,38.42,1.11
2015,11,23,0.0,25.32,14.5,38.32,0.83
2015,11,24,0.0,26.5,13.1,39.78,1.37
2015,11,25,0.0,27.03,10.72,41.96,1.95
2015,11,26,0.25,26.5,13.71,38.94,1.2
2015,11,27,0.43,25.29,13.45,48.72,1.32
2015,11,28,0.03,26.78,12.34,42.13,0.96
2015,11,29,0.0,25.13,14.35,47.56,1.18
2015,11,30,0.0,25.12,15.29,46.89,0.93
2015,12,1,0.0,25.34,13.71,48.09,1.05
2015,12,2,0.0,24.89,13.74,50.15,1.06
2015,12,3,0.0,25.77,12.4,46.79,1.55
2015,12,4,0.0,25.17,9.68,39.86,1.12
2015,12,5,0.0,25.74,12.61,37.6,1.14
2015,12,6,0.0,25.05,12.43,36.22,0.8
2015,12,7,0.0,23.54,10.24,40.55,1.06
2015,12,8,0.0,24.16,12.58,41.19,0.92
2015,12,9,0.0,24.6,10.73,45.92,2.2
2015,12,10,5.56,23.88,11.99,48.62,2.28
2015,12,11,7.01,20.39,10.8,64.13,0.75
2015,12,12,0.07,21.63,9.36,56.51,1.91
2015,12,13,0.0,20.87,8.25,45.19,1.39
2015,12,14,0.0,20.84,6.85,41.82,1.73
2015,12,15,0.0,21.62,6.51,47.44,1.52
2015,12,16,0.0,22.15,8.01,33.79,1.05
2015,12,17,0.04,20.98,8.57,33.83,1.11
2015,12,18,0.03,20.78,7.06,38.41,1.69
2015,12,19,0.0,21.39,5.94,37.32,1.21
2015,12,20,0.0,20.48,7.82,38.39,1.27
2015,12,21,0.0,20.34,6.54,40.28,0.98
2015,12,22,0.0,17.74,7.17,37.35,0.92
2015,12,23,0.02,18.18,7.37,41.73,1.44
2015,12,24,0.0,18.75,3.52,49.07,2.29
2015,12,25,0.0,19.66,4.63,35.39,1.44
2015,12,26,0.0,22.06,4.88,36.61,1.68
2015,12,27,0.0,24.2,9.11,42.64,1.62
